ppl AUC 1.0000, Accuracy 1.0000, TPR@0.1%FPR of 1.0000
ppl/Ref_ppl (calibrate PPL to the reference model) AUC 0.3127, Accuracy 0.5000, TPR@0.1%FPR of 0.0000
ppl/lowercase_ppl AUC 0.7506, Accuracy 0.7356, TPR@0.1%FPR of 0.1111
ppl/zlib AUC 0.9871, Accuracy 0.9464, TPR@0.1%FPR of 0.8889
Min_5.0% Prob AUC 0.9272, Accuracy 0.8616, TPR@0.1%FPR of 0.6481
Min_10.0% Prob AUC 0.9973, Accuracy 0.9907, TPR@0.1%FPR of 0.9815
Min_20.0% Prob AUC 1.0000, Accuracy 1.0000, TPR@0.1%FPR of 1.0000
Min_30.0% Prob AUC 1.0000, Accuracy 1.0000, TPR@0.1%FPR of 1.0000
Min_40.0% Prob AUC 1.0000, Accuracy 1.0000, TPR@0.1%FPR of 1.0000
Min_50.0% Prob AUC 1.0000, Accuracy 1.0000, TPR@0.1%FPR of 1.0000
Min_60.0% Prob AUC 1.0000, Accuracy 1.0000, TPR@0.1%FPR of 1.0000
